location,claim_summary,dataset,config_or_comparison,metric,group,target_table,evidence_type,source
§5.2,Rank-audit: 41.89-57.81% of users have improved TaxPro-CL rank across 8 cells,all 4,"TaxPro-CL vs. SimGCL, seed-matched",rank improvement %,"near_cold, long_tail",Table S11,"seed-matched aggregate, 3 seed pairs",tools/analysis/rank_audit_seed_matched.py -> results/
§5.2,"Yelp2018 audit mean negative despite higher 3-seed Recall@20 (sign mismatch, expected)",yelp2018,TaxPro-CL vs. SimGCL,mean rank diff. vs Recall@20,"near_cold, long_tail","Table S11, Table S1",seed-matched aggregate,Table S14 mean diff column vs Table S1 Recall@20
§5.2,MI/Near-Cold only cell with more top-20 exits than entries,musical-instruments,TaxPro-CL vs. SimGCL,entered/exited top-20 counts,near_cold,Table S11,seed-matched aggregate,Table S14 Entered/Exited columns
§5.3 (A1),"TaxPro-CL beats LightGCN on NC/LT, 3 of 4 datasets; ACS/LT exception -3.96%",all 4,TaxPro-CL vs. LightGCN,Recall@20 % change,"near_cold, long_tail",Table 7 (deltas),"point estimate, 3-seed mean",metrics_seed.csv
§5.3 (A2),"TaxPro-CL beats SimGCL on NC/LT all 4 datasets, trails on Overall/Warm all 4",all 4,TaxPro-CL vs. SimGCL,Recall@20 % change,all 4 groups,Table 7 (deltas),"point estimate, 3-seed mean",metrics_seed.csv
§5.3 (A3),"epsilon_max sweep 0.01-0.80: Long-Tail/Overall/Warm flat, Near-Cold non-monotonic (dips at 0.40, recovers at 0.80)",amazon-book,"epsilon_max in {0.01,...,0.80}",Recall@20,all 4 groups,Table S4,"point estimate, 3-seed mean",log/p0/taxprocl/amazon-book/... epsilon_max sweep runs
§5.3 (A4),"Temperature sweep: Near-Cold peaks at tau=0.1, 2.3-3.1x higher than at either end (0.0016 at tau=0.2, 0.0012 at tau=0.05)",amazon-book,"temperature in {0.05,0.10,0.20}",Recall@20,near_cold,Table S4,"point estimate, 3-seed mean",log/p0/taxprocl/amazon-book/... temperature sweep runs
§5.3 (A4),Temperature-matched (tau=0.2) reverses ranking: TaxPro-CL trails SimGCL on all 4 groups,amazon-book,TaxPro-CL(tau=0.2) vs. SimGCL(tau=0.2),Recall@20,all 4 groups,main.tex prose only (§5.3),"point estimate, 3-seed mean",log/p0/taxprocl/amazon-book/... temperature-matched run
§5.3 (A5); RQ4,"Leaf vs. Parent prototype granularity (policy-matched): Recall@20 -1.35%/-0.14%/+0.06%/+0.06% (NC/LT/Ov/Wm), no Recall@20 bootstrap CI excludes 0; 99.39% mean top-20 overlap, 87.92% identical sets",amazon-book,"prototype_mode=leaf (TaxPro-CL-main) vs. parent (log/p0/taxprocl/amazon-book/ablation-A5-parent-mergedt10), both taxonomy_policy=merge_t10","Recall@20, NDCG@20 (per-user bootstrap, 5000 resamples), top-20 overlap",all 4 groups,"Table S7, Table S7b","bootstrap CI + point estimate, 3 seeds",tools/analysis/a5_leaf_vs_parent_mergedt10.py -> results/a5_leaf_vs_parent_mergedt10.json
§5.3 (A6),"beta=0.4 improves all 4 groups vs. beta=0 on ACS, +2.46% to +5.24%",arts-crafts-and-sewing,same_leaf_weight=0.4 vs. 0.0,Recall@20 % change,all 4 groups,Table S9,"point estimate, 3-seed mean",log/p0/taxprocl/arts-crafts-and-sewing/ablation-A6-same_leaf_weight0.4
§5.4,"Direction factorial (V1-V0, V3-V2): 2 of 16 NC/LT cells exclude zero, both AB/Long-Tail, both favor taxonomy (+1.71%/+1.79%); AB/Near-Cold +4.40% but Recall@20 CI includes zero; other three datasets: no cell excludes zero",all 4,"V1-V0, V3-V2","Recall@20 diff., bootstrap CI","near_cold, long_tail",Table 8 (point estimates); Table S13; Figure 2,"per-user bootstrap CI, pooled 3 seeds",tools/analysis/a2_mergedt10_factorial_recompute.py (Amazon-Book) -> results/a2_mergedt10_factorial_bootstrap.json; tools/analysis/factorial_direction_bootstrap.py (other datasets) -> results/factorial_direction_bootstrap_full_FIXED.json + results/factorial_direction_bootstrap_yelp_tempuser_fix.json
§5.4,"Epsilon-adaptivity factorial (V2-V0, V3-V1): 0 of 16 NC/LT cells exclude zero for Recall@20; NDCG@20: 1 of 16 (Yelp/LT, V2-V0, boundary-adjacent, favors adaptive)",all 4,"V2-V0, V3-V1","Recall@20 diff., bootstrap CI","near_cold, long_tail","Table S17, Table S17b","per-user bootstrap CI, pooled 3 seeds","same sources as the direction factorial; NDCG: tools/analysis/b1_epsilon_ndcg.py, a2_mergedt10_factorial_recompute.py"
§5.4,"Overall/Warm direction factorial: 11 of 16 cells exclude zero: 4 favor taxonomy (all four AB cells), 7 against (MI 4, ACS 3); Yelp none",all 4,"V1-V0, V3-V2","Recall@20 diff., bootstrap CI","overall, warm",Table S19,"per-user bootstrap CI, pooled 3 seeds","same sources as the direction factorial, Overall/Warm groups"
§5.4,"Warm-start removal raises Long-Tail Recall@20 under both direction controls (+19.5% random, +20.1% taxonomy), taxonomy policy held fixed at merge_t10",amazon-book,warm_start_epochs=0 vs. 20,"Recall@20 % change, bootstrap CI",long_tail,Table S20,"per-user bootstrap CI, pooled 3 seeds",tools/analysis/a2_mergedt10_factorial_recompute.py -> results/a2_mergedt10_factorial_bootstrap.json (A2-V0-nowarm vs A2-V0-mergedt10; A2-V3-nowarm vs A2-V3-warm20); warmstart_removal_bootstrap.py (Recall@20 only)
§5.4,Warm-start removal: Overall/Warm opposite signs between random (+) and taxonomy (-) direction controls,amazon-book,warm_start_epochs=0 vs. 20,"Recall@20 diff., bootstrap CI","overall, warm",Table S20,"per-user bootstrap CI, pooled 3 seeds",same source as above
§5.4,"View cosine similarity: TaxPro-CL 0.99992-0.99999, SimGCL 0.99991-0.99996, ratio 1.2-3.0x",amazon-book,TaxPro-CL-main vs. SimGCL-main,"cos(z_i^a, z_i^b)","near_cold, mid_tail, warm",Table S22,"per-item cosine, averaged per group, 3 seeds","tools/analysis/view_cosine_by_degree.py -> results/a4_cosine_seed{42,0,1}.json"
§3.2; ESM S8,isotropic_blend: AB degrades monotonically 0.25->0.75; Yelp flat,"amazon-book, yelp2018","isotropic_blend in {0.25,0.5,0.75}",Recall@20,all 4 groups,Table S8,"point estimate, 3-seed mean","log/p0/taxprocl/{amazon-book,yelp2018}/isoblend{0.25,0.5,0.75}"
§4.1,"Taxonomy-policy sweep: margin small on every dataset (within 1 SD Yelp/MI/ACS, comparable on AB)",all 4,no_merge/merge_t5/t10/t15,Recall@20 Overall (validation),overall,Table S3,"point estimate + std, 3-seed",Table S3 mean+-std columns
§4.1,"Leaf-size skew: 49.03%/50.34% of leaves are size 1-2 on MI/ACS, vs. 1.60%/32.52% on AB/Yelp",all 4,selected taxonomy policy,"leaf count, item share",n/a (catalog stat),Table S15,computed directly from taxonomy build,tools/analysis/leaf_size_distribution.py -> results/leaf_size_distribution.json
§4.3.1,"Near-Cold group classified as near-cold only under the train-degree definition: 48.79% (AB), 52.97% (Yelp), 56.12% (MI), 55.09% (ACS)",all 4,"train-degree 1-5 items, pool vs. train degree","item count, %",near_cold,Table S21,computed directly from saved split files,tools/analysis/degree_transition.py -> results/degree_transition.json
§5.5,"Prototype-to-embedding distance: 0.78-0.87 (AB/Yelp), 0.50-0.52 (MI/ACS) even at leaf size 1",all 4,leaf size 1 (singleton leaves),||p_l - e_i|| / ||e_i||,n/a (catalog stat),Table S16,computed from trained checkpoint embeddings,tools/analysis/prototype_distance_by_leaf_size.py -> results/prototype_distance_by_leaf_size.json (Table S16 shows one checkpoint per dataset; medians differ by at most 0.011 across the three seeds)
§5.5,"Prototype-construction variants (leaf_uniform, leave_one_out, rescue) vs. TaxPro-CL-main: leave_one_out bit-for-bit identical on all 4 groups; leaf_uniform excludes zero only on Long-Tail (negative); rescue excludes zero on no group",amazon-book,leaf_uniform/leave_one_out/rescue vs. TaxPro-CL-main,"Recall@20 diff., bootstrap CI",all 4 groups,Table S14,"per-user bootstrap CI, pooled 3 seeds","tools/analysis/leaf_variants_bootstrap.py, rescue_vs_variants_bootstrap.py"
§5.6,"5 of 8 dataset x group cells exclude zero (main bootstrap, TaxPro-CL vs. SimGCL)",all 4,TaxPro-CL-main vs. SimGCL-main,"Recall@20 diff., bootstrap CI","near_cold, long_tail",Table 11 (bootstrap),"per-user bootstrap CI, 2000 resamples, seed-averaged",tools/analysis/seed_matched_bootstrap.py
§5.6,"Per-seed-pair: Long-Tail unanimous positive sign on all 4 datasets (3 of 3 pairs); Near-Cold disagreement on MI (1 of 3 negative), ACS (2 of 3 negative)",all 4,"TaxPro-CL vs. SimGCL, same-seed pairs","Recall@20 diff. sign, CI-excludes-0 count","near_cold, long_tail",Table S6,per-seed-pair bootstrap,"same source as Table 11, disaggregated by seed pair"
§5.6,Wilcoxon: minimum raw p=0.25 at n=3 seeds; Holm-corrected p capped at 1.0 for all comparisons,all 4,A1/A2/A2' vs. TaxPro-CL,"Wilcoxon signed-rank p, rank-biserial","near_cold, long_tail",Table S5,"exact two-sided Wilcoxon, Holm-Bonferroni corrected","tools/analysis/statistics.py (--reference-config <baseline> --candidate-config TaxPro-CL, input from tools.analysis.compile_ablation_sweep) -> results/week6/statistical_tests_A*.csv"
Section 3.2 (method-direction); Online Resource 1 S29,"TaxPro-CL's realized perturbation displacement is 45-65% smaller than SimGCL's on Mid-Tail/Warm on all 4 datasets, and 2.56x larger on Musical-Instruments Near-Cold",all 4,TaxPro-CL-main vs. SimGCL-main,realized perturbation L2 norm (post-aggregation embeddings),"near_cold, mid_tail, warm",Table S29,"point estimate, 3-seed mean, inference only (no retraining)",results/week6/realized_perturbation_norm.json; tools/analysis/realized_perturbation_norm.py
Table 3 (main.tex); Online Resource 1 S28,"Taxonomy coverage (valid leaf assignment after merge policy) is 97.62%/96.51%/98.92%/97.49% for AB/Yelp/MI/ACS, not the 100.00%/96.53%/100.00%/99.93% raw metadata ID-match rate previously reported",all 4,dataset statistics under selected policy,valid_taxonomy_mask coverage (post-merge-policy),n/a (dataset-level statistic),Table 3,"exact count, deterministic (no seeds/bootstrap)",metadata/taxonomy_variants/<dataset>/<policy>/taxonomy_statistics.json
Online Resource 1 S28,"Provider 5-core Musical-Instruments/Arts-Crafts-and-Sewing review files require a genuine re-filter after dedup/ID-remap, not a zero-drop check: 219156->206241 (12915 removed, 5.89%) MI; 440318->392935 (47383 removed, 10.76%) ACS",musical-instruments; arts-crafts-and-sewing,provider 5-core file vs. project's own re-verified 5-core,distinct interaction pairs before/after re-filter,n/a (dataset-level statistic),n/a (Online Resource 1 S28 only),"exact count, deterministic (no seeds/bootstrap)",dataset_verify/<dataset>/split_manifest.json (five_core_verification field)
Online Resource 1 S26,"Holm-Bonferroni over paired sign-flip p-values (null-distribution test, 100000 permutations, seed 42) leaves 3 of 8 Table 11 cells significant (AB Long-Tail, ACS Long-Tail, AB Near-Cold); MI/Long-Tail (p=0.0104 vs 0.0100) narrowly fails and stops Yelp/Long-Tail (0.0120 vs 0.0125); a 10^6-permutation re-run with seed 123 and a null-centred bootstrap give the same 3 of 8; the earlier bootstrap-tail version (not a null-distribution p-value) had reported 5 of 8",all 4,TaxPro-CL-main vs. SimGCL-main,"Recall@20 diff., sign-flip p, Holm-corrected","near_cold, long_tail",Table S26,paired sign-flip randomization test on seed-averaged per-user differences; null-centred bootstrap as second check,tools/analysis/a2_multiplicity_correction.py -> results/a2_multiplicity_correction_signflip_100k.json; results/a2_multiplicity_correction_signflip_1M_seed123.json; results/a2_multiplicity_peruser_diffs.npz
Online Resource 1 S14b,"Direct top-20 set/order overlap: leave_one_out 99.98% identical set/99.78% identical order vs main; leaf_uniform 81.50%/17.67%; rescue 78.10%/12.74% (all vs TaxPro-CL-main, Amazon-Book, 52639 users, mean of 3 seeds)",amazon-book,leaf_uniform/leave_one_out/rescue vs. TaxPro-CL-main,"top-20 item-set overlap, identical-set rate, identical-order rate",n/a (whole eligible catalog per user),Table S14b,"point estimate, 3-seed mean, inference only (no retraining)",tools/analysis/b2_prototype_variant_overlap.py -> results/b2_prototype_variant_overlap.json
Online Resource 1 S13b (NDCG companion); main.tex Section 5.4,"NDCG@20 for the RQ5 direction factorial agrees with Recall@20 on Yelp/MI/ACS (no cell excludes zero) and on AB/Long-Tail; on AB/Near-Cold NDCG@20 also excludes zero (taxonomy-favoring): 4 of 16 NDCG@20 cells exclude zero, all AB",all 4,V1-V0 and V3-V2 (direction conditional effect),"NDCG@20 diff., bootstrap CI","near_cold, long_tail",Online Resource 1 Table S13b (NDCG companion),"per-user bootstrap CI, 5000 resamples, seed-averaged across 3 seeds",tools/analysis/b1_factorial_ndcg.py (Yelp/MI/ACS) -> results/b1_factorial_ndcg.json; a2_mergedt10_factorial_recompute.py (AB) -> results/a2_mergedt10_factorial_bootstrap.json
"Online Resource 1 S13b (NDCG companion, Yelp2018 rows)",Corrected Yelp2018 NDCG@20 factorial cells using temperature_user=0.15 checkpoints (previous NDCG run had used the superseded temperature_user=0.2 checkpoints); conclusion unchanged (no cell favors taxonomy direction),yelp2018,V1-V0 and V3-V2 (direction conditional effect),"NDCG@20 diff., bootstrap CI","near_cold, long_tail",Online Resource 1 Table S13b (NDCG companion),"per-user bootstrap CI, 5000 resamples, seed-averaged across 3 seeds",tools/analysis/b1_factorial_ndcg_yelp_tempuser_fix.py -> results/b1_factorial_ndcg_yelp_tempuser0.15.json
Online Resource 1 S23; main.tex Section 5.4,AB factorial V3 (A2-V3-warm20) is an independent run of the main configuration; test metrics within 0.26% of TaxPro-CL-main on every group/metric/seed; using TaxPro-CL-main as V3 leaves every direction/epsilon-adaptivity cell's excludes-zero status unchanged (only the AB/Warm interaction becomes boundary-adjacent),amazon-book,A2-V3-warm20 vs. TaxPro-CL-main; V3 substitution sensitivity,"Recall@20, NDCG@20",all 4 groups,Online Resource 1 Section S23,"per-user bootstrap CI, 5000 resamples, pooled 3 seeds","tools/analysis/a2_mergedt10_factorial_recompute.py [--v3-dir <TaxPro-CL-main dir>] -> results/a2_mergedt10_factorial_bootstrap.json, results/a2_mergedt10_factorial_bootstrap_v3main.json"
Online Resource 1 S23,"Compute environments: Environment A (RTX 4060 Ti, Windows 10, Python 3.10.0, PyTorch 2.1.0+cu121) for all runs except AB A2-V3-warm20, A2-V3-nowarm and the AB isotropic-blend runs (Environment B: RTX 3090 Ti, Linux, Python 3.10.20, PyTorch 2.6.0+cu124)",amazon-book,per-run environment.json,n/a,n/a,Table S23,per-run recorded environment,log/p0/taxprocl/<dataset>/<run>/seed*/environment.json
§5.4,Direction effect on AB/Long-Tail (+0.000098/+0.000103) is roughly one eighth of the TaxPro-CL - SimGCL Long-Tail gap (+0.000830),amazon-book,"V1-V0, V3-V2 vs. TaxPro-CL-main - SimGCL-main",Recall@20 diff.,long_tail,Table S13; Table 11,"point estimates, pooled 3 seeds",results/a2_mergedt10_factorial_bootstrap.json; results/seed_matched_bootstrap outputs (Table 11)
"§5.4 (restored, GVHD A1)","Amazon-Book direction factorial under no_merge (policy-sensitivity check, dropped from V62 body): Near-Cold excludes zero against the taxonomy direction (-3.75% both comparisons); Long-Tail null; Overall/Warm also against taxonomy (-0.18%)",amazon-book,"V1-V0, V3-V2 (no_merge; log/p0/taxprocl/amazon-book/A2-V{0,1,2,3})","Recall@20, NDCG@20 diff., bootstrap CI, sign-flip p","near_cold, long_tail, overall, warm","Table S13c, S13d","per-user bootstrap CI (5000 resamples) + sign-flip p (1e5/1e6 perm), pooled 3 seeds",tools/analysis/a1a2_factorial_multiplicity.py -> results/a1a2_factorial_multiplicity.json
§5.4; Abstract; Table 9 (GVHD A2),"Holm-Bonferroni (sign-flip, intersection-union combined p) over the 8-cell direction and 8-cell epsilon-adaptivity families: none survive on Recall@20 (AB/Long-Tail direction p=0.016 vs. threshold 0.00625, both 1e5 and 1e6 perms); AB/Long-Tail direction survives on NDCG@20 only (p=0.0019)",all 4,V1-V0 & V3-V2 combined (max p); V2-V0 & V3-V1 combined (max p),"sign-flip p, Holm-corrected","near_cold, long_tail",Table S13e,"paired sign-flip randomization test (1e5 perm seed 42 + 1e6 perm seed 123 precision check) + Holm-Bonferroni step-down, alpha=0.05",tools/analysis/a1a2_factorial_multiplicity.py -> results/a1a2_factorial_multiplicity.json
§4.4; §5.4 (GVHD B1),"Amazon-Book factorial V0-V2 (merge_t10) trained on Environment A; V3 (A2-V3-warm20) on Environment B; cross-environment gap is 0.0000% on Near-Cold (bit-identical, all 3 seeds) and up to +0.232% on Long-Tail (seed 0)",amazon-book,A2-V3-warm20 (Environment B) vs. TaxPro-CL-main (Environment A),"Recall@20 % diff., per group per seed","near_cold, long_tail, overall, warm",n/a (Online Resource 1 S23 text),"exact per-seed per-group comparison, deterministic (no bootstrap)","log/p0/taxprocl/amazon-book/{taxpro-cl-v15-...-BEST-...,A2-V3-warm20}/seed*/final_test_group_metrics.json (direct diff)"
